Education,Skills,Experience,Interests,Career Path
Ph.D. Psychology,"SQL, AutoCAD, Networking, Java, Excel",1 years,"Art, Data Analysis, Forecasting",Creative Director
Ph.D. Psychology,"SEO, Tally, R",2 years,"Web Apps, Mental Health, AI",Clinical Psychologist
MCA,"Counseling, Security, MySQL",1 years,"Finance, UI Design, Blockchain",HR Specialist
B.A. English,"Linux, SQL, SEO, Counseling, Writing",1 years,"Teaching, Literature",Financial Analyst
MBA,"React, Statistics, Excel, Editing",6 years,"Teaching, Manufacturing, Machine Learning",Creative Director
M.Sc. Data Science,"Adobe Suite, Editing, SEO, Counseling, Statistics",6 years,"Branding, Machine Learning",Creative Director
B.Des Graphic Design,"R, SEO, Python, Java, AutoCAD",1 years,"Teaching, AI",DevOps Engineer
M.Sc. Data Science,"Editing, Counseling, Python, Adobe Suite, Security",2 years,"Analytics, Teaching",Creative Director
B.Des Graphic Design,"SolidWorks, Editing, Security, R",7 years,"Startups, Web Apps, Cloud",AI Researcher
B.Tech Mechanical,"SQL, Counseling, React, Writing",7 years,"Blockchain, UI Design, Finance",Content Strategist
B.Tech Mechanical,"React, Networking, Illustration, Security",6 years,"Blockchain, AI",DevOps Engineer
MBA,"Java, Statistics, Editing, AutoCAD",6 years,"Web Apps, Cybersecurity, Branding",Network Engineer
B.Sc. IT,"Tally, Illustration, Python, Adobe Suite",7 years,"Analytics, Data Analysis, Startups",Financial Analyst
B.Sc. IT,"Tally, Counseling, R, Java, React",3 years,"Finance, Teaching, Forecasting",Financial Analyst
B.Sc. IT,"Writing, Security, React, Excel",5 years,"AI, Literature",UI/UX Designer
B.Sc. Computer Science,"AutoCAD, Research, SEO",5 years,"Cars, AI",HR Specialist
B.A. English,"Java, React, Marketing, Research",4 years,"Finance, Manufacturing",DevOps Engineer
M.Sc. Data Science,"AutoCAD, Statistics, Research, React",4 years,"Blockchain, Mental Health, Finance",Security Analyst
B.Sc. IT,"Adobe Suite, Statistics, Linux, Python",7 years,"Blockchain, AI, Mental Health",DevOps Engineer
MBA,"MySQL, Editing, Python, SolidWorks, Java",7 years,"Cybersecurity, Startups",HR Specialist
B.Sc. Computer Science,"React, Illustration, SolidWorks",2 years,"Forecasting, AI, Machine Learning",HR Specialist
B.A. English,"Writing, Python, R, Security, SEO",5 years,"Mental Health, Art, Startups",Clinical Psychologist
M.Sc. Data Science,"Python, Marketing, Illustration, Networking, Writing",3 years,"UI Design, Cars, Blockchain",Clinical Psychologist
MBA,"R, SEO, Excel, SQL, Tally",1 years,"Finance, Literature, Cybersecurity",Technical Writer
B.Sc. IT,"Linux, SolidWorks, Security, Excel",6 years,"Data Analysis, Cybersecurity",Cloud Architect
MBA,"SQL, Writing, Tally, SEO, Linux",2 years,"Literature, Analytics, Art",Graphic Designer
Ph.D. Psychology,"React, SQL, Java",4 years,"Literature, Analytics",Financial Analyst
Ph.D. Psychology,"MySQL, Adobe Suite, Excel, Illustration",3 years,"Cybersecurity, Mental Health",Security Analyst
B.Com,"Java, Statistics, Marketing",7 years,"Art, Finance",Machine Learning Engineer
MCA,"React, Writing, Excel",8 years,"Machine Learning, Cars",Technical Writer
M.Sc. Data Science,"MySQL, Linux, React, SQL",4 years,"Analytics, Finance, Teaching",Full Stack Developer
B.Sc. Computer Science,"Marketing, Excel, MySQL, Tally",8 years,"Cars, Teaching, Blockchain",Full Stack Developer
M.Sc. Data Science,"Python, React, Editing",8 years,"Mental Health, Machine Learning",Full Stack Developer
B.Com,"MySQL, Illustration, Marketing, React, Security",1 years,"Manufacturing, Cars, Machine Learning",Marketing Manager
M.Sc. Data Science,"Security, Statistics, Java",5 years,"Forecasting, Finance",Marketing Manager
B.Des Graphic Design,"Illustration, Python, SolidWorks",1 years,"Art, Branding, Startups",Content Strategist
Ph.D. Psychology,"MySQL, Marketing, Security, Linux",5 years,"Media, Blockchain",Content Strategist
MBA,"Python, Counseling, Linux",2 years,"Cloud, Data Analysis, Finance",Graphic Designer
